Test Case ID,Testworthy ID,Test Scenario,Test Steps,Expected Result,Priority,Test Type,Status,Notes
TC_002,TC-1,Register with an email already in use,1. Go to Registration page; 2. Enter an email that is already registered; 3. Click Register,System displays 'Email already registered' error and does not create a duplicate account,High,Negative,Failed,
TC_003,TC-2,Register with invalid email format,"1. Go to Registration page; 2. Enter an invalid email (e.g., 'user@@test'); 3. Click Register",System displays an email format validation error and blocks submission,Medium,Negative,Failed,
TC_004,TC-3,Register with password below minimum length,1. Go to Registration page; 2. Enter a password shorter than the required minimum; 3. Click Register,System displays a password length validation error,Medium,Negative,Passed,
TC_005,TC-4,Register with mandatory fields left blank,1. Go to Registration page; 2. Leave name/email/password blank; 3. Click Register,System displays 'required field' validation messages for each blank field,Medium,Regression,Passed,
TC_006,TC-5,Login with valid credentials,1. Go to Login page; 2. Enter valid registered email and password; 3. Click Login,User is authenticated and redirected to the home page,High,Smoke,Passed,
TC_007,TC-6,Login with incorrect password,1. Go to Login page; 2. Enter valid email with an incorrect password; 3. Click Login,System displays 'Invalid credentials' error and does not log the user in,High,Negative,Failed,Generic error message shown instead of specific 'Invalid credentials' message.
TC_008,TC-7,Login with unregistered email,1. Go to Login page; 2. Enter an email that is not registered; 3. Click Login,System displays 'Account not found' or equivalent error,Medium,Negative,Passed,
TC_017,TC-8,Search with no matching results,"1. Go to Search bar; 2. Enter a keyword that matches no books (e.g., 'zzxxqq'); 3. Press Enter",System displays a 'No results found' message,Medium,Negative,Passed,
TC_020,TC-9,View details of a selected book,"1. From catalog or search results, click on a book","Book details page loads showing title, author, price, description, and stock availability",High,Smoke,Passed,
TC_022,TC-10,Add a single book to cart,1. Open a book's details page; 2. Click 'Add to Cart',Book is added to the cart and cart item count updates correctly,High,Smoke,Passed,
TC_027,TC-11,Complete checkout with valid details and payment,1. Add book(s) to cart; 2. Proceed to Checkout; 3. Enter valid shipping address; 4. Enter valid test payment details; 5. Click 'Place Order',Order is placed successfully and user is taken to the Order Confirmation page,High,Smoke,Blocked,
TC_033,TC-12,Order confirmation details are accurate,1. Complete a checkout successfully,"Confirmation page/email shows correct order ID, items, quantities, total, and shipping address",High,Smoke,Passed,
TC_011,TC-13,Browse book catalog listing,1. Login (or continue as guest); 2. Navigate to the Book Catalog page,"Catalog page loads and displays a list of available books with images, titles, and prices",High,Smoke,Passed,
